City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,enewetak,11.3474,162.3373,81.66,82,100,21.32,MH,1686770606
84,victorica,-36.2151,-65.4359,61.63,21,27,16.31,AR,1686770844
85,usogorsk,63.4106,48.6872,49.89,61,35,5.06,RU,1686770844
86,belozersk,60.0326,37.7957,59.92,61,30,5.01,RU,1686770844
87,longyearbyen,78.2186,15.6401,37.24,75,75,16.11,SJ,1686770845
88,jamestown,42.097,-79.2353,64.02,77,75,17.27,US,1686770805
89,avarua,-21.2078,-159.775,75.25,83,75,8.05,CK,1686770845
90,al mutayrifi,25.4788,49.5576,97.14,16,6,10.65,SA,1686770845
91,ishigaki,24.3448,124.1572,77.13,100,75,1.14,JP,1686770845
92,filingue,14.3521,3.3168,94.96,37,43,4.25,NE,1686770845
93,dapa,9.7594,126.0531,80.76,78,100,2.86,PH,1686770596
94,lhokseumawe,5.1801,97.1507,80.1,85,100,2.84,ID,1686770846
95,kodiak,57.79,-152.4072,45.91,87,100,10.36,US,1686770846
96,cidreira,-30.1811,-50.2056,60.67,76,100,15.03,BR,1686770846
97,cosne-cours-sur-loire,47.3333,3.1667,66.92,67,0,5.82,FR,1686770846
98,eirunepe,-6.6603,-69.8736,75.83,60,78,5.64,BR,1686770846
99,prince rupert,54.3161,-130.3201,57.29,70,20,16.11,CA,1686770847
100,ust-nera,64.5667,143.2,54.73,73,11,2.06,RU,1686770847
101,urangan,-25.3,152.9,57.99,53,0,11.01,AU,1686770847
102,thompson,55.7435,-97.8558,55.56,44,75,10.36,CA,1686770791
103,mawlamyinegyunn,16.3833,95.2667,79.23,89,88,3.87,MM,1686770847
104,rock springs,41.5875,-109.2029,65.64,55,75,11.5,US,1686770844
105,arawa,-6.2132,155.5367,76.66,91,100,4.68,PG,1686770847
106,mitsamiouli,-11.3847,43.2844,77.16,65,5,6.15,KM,1686770848
107,saint-joseph,-21.3667,55.6167,71.47,81,19,8.95,RE,1686770848
108,santa rita,-7.1139,-34.9781,77.67,100,100,6.91,BR,1686770671
109,kenora,49.8167,-94.4337,54.57,66,100,6.91,CA,1686770848
110,pizarro,4.9533,-77.366,82.67,78,96,6.69,CO,1686770849
111,college,64.8569,-147.8028,56.46,65,75,9.22,US,1686770697
112,lospalos,-8.5186,127.0025,67.68,89,84,5.53,TL,1686770849
113,rawson,-43.3002,-65.1023,62.46,40,3,10.11,AR,1686770849
114,el obeid,13.1842,30.2167,80.53,61,100,13.71,SD,1686770849
115,murghob,38.1702,73.9667,50.27,46,83,2.06,TJ,1686770849
116,pisco,-13.7,-76.2167,71.65,68,20,11.5,PE,1686770578
117,tchintabaraden,15.8969,5.7985,91.72,36,20,19.53,NE,1686770850
118,klyuchi,52.2667,79.1667,55.94,49,0,1.36,RU,1686770850
119,haiku-pauwela,20.9219,-156.3051,80.62,57,20,6.91,US,1686770850
120,lemmon valley,39.636,-119.8432,77.47,48,0,6.91,US,1686770850
121,tangalle,6.024,80.7911,79.99,84,100,10.31,LK,1686770610
122,thunder bay,48.4001,-89.3168,58.98,67,100,8.05,CA,1686770776
123,wailua homesteads,22.0669,-159.378,81.03,83,75,11.5,US,1686770850
124,paoua,7.2427,16.4406,71.67,90,99,3.13,CF,1686770851
125,castillos,-34.1667,-53.8333,53.91,53,0,4.92,UY,1686770851
126,utrik,11.2278,169.8474,81.54,81,100,22.1,MH,1686770851
127,presidente epitacio,-21.7633,-52.1156,54.91,94,100,7.52,BR,1686770601
128,namibe,-15.1961,12.1522,64.31,86,16,8.05,AO,1686770851
129,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,81,0,4.47,RU,1686770851
130,oranjemund,-28.55,16.4333,58.3,76,15,7.2,NA,1686770852
131,tommot,58.9564,126.2925,42.53,79,8,3.87,RU,1686770852
132,kez,57.8979,53.7152,53.67,79,49,4.07,RU,1686770852
133,enshi,30.3,109.4833,68.9,83,100,1.3,CN,1686770852
134,ilulissat,69.2167,-51.1,32.32,86,16,4.0,GL,1686770852
135,timbuktu,16.7735,-3.0074,102.18,24,97,0.98,ML,1686770852
136,afaahiti,-17.75,-149.2833,82.27,74,62,17.38,PF,1686770853
137,walvis bay,-22.9575,14.5053,56.35,82,0,2.3,NA,1686770853
138,kievka,50.2619,71.5514,53.47,41,0,10.36,KZ,1686770853
139,bilibino,68.0546,166.4372,34.75,64,91,2.33,RU,1686770853
140,merritt,50.1123,-120.7942,58.32,57,87,4.0,CA,1686770853
141,hadibu,12.65,54.0333,82.38,79,100,17.67,YE,1686770854
142,callao,-12.0667,-77.15,73.69,64,100,6.91,PE,1686770558
143,sao filipe,14.8961,-24.4956,76.53,74,70,11.88,CV,1686770854
144,taulaga,-11.0553,-171.0883,83.12,75,100,11.39,AS,1686770854
145,tocopilla,-22.092,-70.1979,68.13,59,3,11.21,CL,1686770854
146,tralee,52.2704,-9.7026,63.57,91,98,3.51,IE,1686770854
147,mersa matruh,31.3525,27.2453,71.8,83,40,11.5,EG,1686770854
148,la ronge,55.1001,-105.2842,64.62,55,40,18.41,CA,1686770855
149,kerikeri,-35.2268,173.9474,44.91,90,100,2.08,NZ,1686770855
150,cill airne,52.05,-9.5167,66.47,87,56,3.42,IE,1686770855
151,chaah,2.249,103.048,75.76,91,88,0.92,MY,1686770855
152,jeremoabo,-10.075,-38.4808,80.42,59,88,10.18,BR,1686770855
153,koubia,11.5833,-11.9,70.34,96,100,2.86,GN,1686770855
154,medina,24.4686,39.6142,102.63,8,0,12.66,SA,1686770855
155,rahimah,26.7079,50.0619,95.22,45,5,22.35,SA,1686770856
156,bodaybo,57.8506,114.1933,50.43,71,7,2.93,RU,1686770856
157,lebu,-37.6167,-73.65,55.98,67,99,8.59,CL,1686770856
158,bengkulu,-3.8004,102.2655,75.07,92,58,5.19,ID,1686770856
159,iskateley,67.6803,53.1512,39.79,74,52,13.94,RU,1686770563
160,arkhangel'sk,64.5401,40.5433,52.0,60,0,1.07,RU,1686770856
161,sao joao da barra,-21.6403,-41.0511,78.89,77,0,14.83,BR,1686770772
162,amungan,15.3652,119.9582,80.6,83,69,3.36,PH,1686770857
163,invercargill,-46.4,168.35,39.29,85,100,4.65,NZ,1686770857
164,puerto deseado,-47.7503,-65.8938,46.92,64,89,7.72,AR,1686770857
165,port elizabeth,-33.918,25.5701,59.29,66,0,32.01,ZA,1686770857
166,vangaindrano,-23.35,47.6,66.38,90,5,3.56,MG,1686770857
167,tamanrasset,22.785,5.5228,94.91,10,40,10.36,DZ,1686770832
168,hronov,50.4797,16.1823,58.71,87,10,3.71,CZ,1686770857
169,chillicothe,39.3331,-82.9824,73.26,55,40,10.36,US,1686770648
170,breves,-1.6822,-50.4803,86.32,61,27,4.52,BR,1686770858
171,vilyuchinsk,52.9306,158.4028,50.27,84,92,0.63,RU,1686770598
172,nongstoin,25.5167,91.2667,64.72,98,80,9.28,IN,1686770858
173,sitangkai,4.6628,119.3928,79.68,78,100,8.79,PH,1686770858
174,la mira,18.035,-102.3266,91.26,48,87,10.94,MX,1686770858
175,karratha,-20.7377,116.8463,68.13,39,19,8.5,AU,1686770859
176,papao,-17.75,-149.55,83.88,73,54,18.34,PF,1686770859
177,isafjordur,66.0755,-23.124,55.9,66,96,1.5,IS,1686770859
178,minas de marcona,-15.2119,-75.1103,64.4,59,0,14.79,PE,1686770859
179,constantia,44.1833,28.65,68.7,82,46,3.91,RO,1686770859
180,talnakh,69.4865,88.3972,40.21,86,8,7.76,RU,1686770859
181,vorgashor,67.5833,63.95,34.5,95,100,19.3,RU,1686770860
182,nizhniy odes,63.6445,54.856,45.48,61,49,5.39,RU,1686770860
183,bafia,4.75,11.2333,70.93,96,90,2.89,CM,1686770860
184,byron bay,-28.65,153.6167,45.72,67,0,7.76,AU,1686770860
185,touros,-5.1989,-35.4608,82.65,70,21,11.01,BR,1686770860
186,keflavik,64.0049,-22.5624,50.77,92,100,18.43,IS,1686770860
187,mata-utu,-13.2816,-176.1745,81.34,82,51,21.39,WF,1686770861
188,port-gentil,-0.7193,8.7815,77.11,85,4,15.73,GA,1686770861
189,fukuecho,32.6881,128.8419,71.51,75,95,8.75,JP,1686770861
190,ma'an,26.9775,110.7211,70.39,80,100,1.72,CN,1686770861
191,cholpon-ata,42.6494,77.0823,59.05,83,100,1.52,KG,1686770861
192,kirsanov,52.6549,42.7224,61.7,92,100,12.41,RU,1686770861
193,tsuruoka,38.7217,139.8217,66.07,99,100,2.24,JP,1686770862
194,sangre grande,10.5835,-61.1177,84.06,100,100,11.97,TT,1686770862
195,akureyri,65.6835,-18.0878,67.51,48,32,4.14,IS,1686770862
196,huntsville,34.7304,-86.5861,71.01,100,40,3.44,US,1686770253
197,amursk,50.2261,136.8994,55.06,98,100,1.16,RU,1686770862
198,maintirano,-18.0667,44.0167,73.58,66,0,9.8,MG,1686770862
199,maun,-19.9833,23.4167,51.76,40,0,1.14,BW,1686770862
200,kon tum,14.35,108.0,70.72,98,100,1.92,VN,1686770863
201,keyser,39.4409,-78.9739,74.95,46,31,12.77,US,1686770863
202,kapuskasing,49.4169,-82.4331,60.89,77,100,8.05,CA,1686770863
203,kastsyukovichy,53.3516,32.0506,62.26,82,100,6.35,BY,1686770863
204,sirte,31.2089,16.5887,92.91,27,31,16.37,LY,1686770863
205,cockburn town,21.4612,-71.1419,82.98,81,5,16.37,TC,1686770863
206,tura,25.5198,90.2201,74.5,96,92,10.6,IN,1686770863
207,whitehorse,60.7161,-135.0538,56.17,41,40,3.44,CA,1686770864
208,punta del este,-34.9667,-54.95,55.51,61,0,8.05,UY,1686770864
209,brak,27.5496,14.2714,99.82,12,97,17.11,LY,1686770864
210,port isabel,26.0734,-97.2086,95.04,64,0,24.16,US,1686770864
211,flying fish cove,-10.4217,105.6791,78.48,83,100,13.8,CX,1686770623
212,tual,-5.6667,132.75,80.31,78,100,18.48,ID,1686770864
213,ribeira grande,38.5167,-28.7,68.77,88,20,18.01,PT,1686770865
214,saynshand,44.8824,110.1163,71.73,31,15,10.2,MN,1686770865
215,sarmiento,-45.5882,-69.07,54.3,54,1,12.12,AR,1686770865
216,san antonio de pale,-1.4014,5.6325,76.98,88,97,11.83,GQ,1686770865
217,kulhudhuffushi,6.6221,73.07,83.75,79,29,13.98,MV,1686770865
218,boone,39.0334,-92.3335,88.79,34,0,6.26,US,1686770865
219,kuybyshev,55.4475,78.3218,51.39,64,21,9.01,RU,1686770865
220,broome,42.2506,-75.833,63.36,82,100,8.99,US,1686770609
221,pleiku,13.9833,108.0,68.86,96,100,3.15,VN,1686770866
222,port lincoln,-34.7333,135.8667,58.14,76,100,17.22,AU,1686770585
223,carnarvon,-24.8667,113.6333,61.09,71,98,17.02,AU,1686770866
224,lihue,21.9789,-159.3672,81.64,79,75,11.5,US,1686770866
225,taoudenni,22.6783,-3.9836,103.96,9,0,11.03,ML,1686770866
226,tateyama,34.9833,139.8667,70.21,93,100,9.19,JP,1686770867
227,ponta delgada,37.7333,-25.6667,68.72,94,40,9.22,PT,1686770867
228,zalingei,12.9096,23.4741,82.24,52,91,4.81,SD,1686770867
229,vila franca do campo,37.7167,-25.4333,68.41,81,44,9.44,PT,1686770867
230,ibarra,0.35,-78.1167,62.04,79,98,5.91,EC,1686770867
231,la rioja,42.25,-2.5,62.38,77,66,4.74,ES,1686770867
232,sinabang,2.4803,96.3801,80.38,77,100,5.97,ID,1686770867
233,puerto baquerizo moreno,-0.9,-89.6,81.59,74,75,14.97,EC,1686770868
234,srandakan,-7.9386,110.2506,75.11,90,100,6.53,ID,1686770868
235,alice town,25.7167,-79.3,83.66,74,5,9.48,BS,1686770868
236,al khawr,25.7667,51.3167,93.7,33,5,24.9,QA,1686770868
237,kish,26.5578,54.0194,88.07,74,16,9.22,IR,1686770868
238,marquette,46.5333,-87.6335,51.24,55,100,8.48,US,1686770800
239,stanley,54.868,-1.6985,63.77,66,1,7.0,GB,1686770868
240,itacare,-14.2775,-38.9967,75.61,88,7,6.96,BR,1686770869
